Query accesion	Subject Seq-id	Subject Scientific Name	Subject Taxonomy ID	Percentage of identical matches	Alignment length	Number of mismatches	Number of gap openings	Start of alignment in query	End of alignment in query	Start of alignment in subject	End of alignment in subject	Total number of gap	Expect value	Bit score
BLAST_AUTO_ID_1	gnl|onekp|GRRW_scaffold_2058068	Grevillea robusta	105748	95.368	475	22	0	1	475	1	475	0	0.0	929
BLAST_AUTO_ID_1	gnl|onekp|YMES_scaffold_2084822	Typhonium blumei	228855	94.748	476	25	0	1	476	8	483	0	0.0	928
BLAST_AUTO_ID_1	gnl|onekp|YFZK_scaffold_2044814	Sciadopitys verticillata	28979	94.737	475	25	0	1	475	1	475	0	0.0	928
BLAST_AUTO_ID_1	gnl|onekp|XWMS_scaffold_2014026	Linum perenne	35941	95.368	475	22	0	1	475	1	475	0	0.0	928
BLAST_AUTO_ID_1	gnl|onekp|LFII_scaffold_2053530	Linum perenne	35941	95.368	475	22	0	1	475	1	475	0	0.0	928
BLAST_AUTO_ID_1	gnl|onekp|ICNN_scaffold_2150128	Yucca filamentosa	55960	94.748	476	25	0	1	476	8	483	0	0.0	928
BLAST_AUTO_ID_1	gnl|onekp|AEPI_scaffold_2012458	Linum leonii	794874	95.368	475	22	0	1	475	1	475	0	0.0	928
BLAST_AUTO_ID_1	gnl|onekp|XRCX_scaffold_2104984	Aster tataricus	588669	95.168	476	23	0	1	476	1	476	0	0.0	928
BLAST_AUTO_ID_1	gnl|onekp|KAYP_scaffold_2042592	Lindera benzoin	55958	94.947	475	24	0	1	475	8	482	0	0.0	928
BLAST_AUTO_ID_1	gnl|onekp|BNDE_scaffold_2095261	Hypericum perforatum	65561	95.168	476	23	0	1	476	8	483	0	0.0	928
BLAST_AUTO_ID_1	gnl|onekp|YSRZ_scaffold_2091175	Fouquieria macdougalii	98238	95.368	475	22	0	1	475	8	482	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|WKCY_scaffold_2012496	Urtica dioica	3501	96.170	470	18	0	1	470	1	470	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|JHUL_scaffold_2017489	Hemerocallis	16107	94.538	476	26	0	1	476	8	483	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|JHUL_scaffold_2017487	Hemerocallis	16107	94.538	476	26	0	1	476	8	483	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|DZTK_scaffold_2043983	Batis maritima	4436	94.748	476	25	0	1	476	1	476	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|YQIJ_scaffold_2005761	Phacelia campanularia	79382	94.958	476	24	0	1	476	8	483	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|TJQY_scaffold_2056210	Kerria japonica	120385	95.158	475	23	0	1	475	1	475	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|PMRP_scaffold_2010228	Cannabis sativa	3483	94.947	475	24	0	1	475	1	475	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|PDIE_scaffold_2010901	Cannabis sativa	3483	94.947	475	24	0	1	475	1	475	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|OVRB_scaffold_2013714	Colchicum autumnale	45005	94.748	476	25	0	1	476	8	483	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|MYMP_scaffold_2062341	Astragalus propinquus	158324	95.158	475	23	0	1	475	1	475	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|JEXA_scaffold_2065766	Impatiens balsamina	63779	95.158	475	23	0	1	475	8	482	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|EMJJ_scaffold_2019482	Borya sphaerocephala	213819	94.748	476	25	0	1	476	8	483	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|DSUV_scaffold_2056282	Asclepias curassavica	52823	95.368	475	22	0	1	475	8	482	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|DGNP_scaffold_2010316	Cannabis sativa	3483	94.947	475	24	0	1	475	1	475	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|VXOD_scaffold_2049673	Linum tenuifolium	586397	95.158	475	23	0	1	475	1	475	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|TXMP_scaffold_2004346	Linum strictum	480357	95.158	475	23	0	1	475	1	475	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|RSPO_scaffold_2112126	Santalum acuminatum	453076	95.368	475	22	0	1	475	1	475	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|AFLV_scaffold_2084258	Xerophyllum asphodeloides	117929	94.538	476	26	0	1	476	8	483	0	0.0	927
BLAST_AUTO_ID_1	gnl|onekp|WSYE_scaffold_2065830	Erigeron canadensis	72917	94.958	476	24	0	1	476	1	476	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|PPQR_scaffold_2055242	Typha angustifolia	59011	94.538	476	26	0	1	476	8	483	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|NUSE_scaffold_2065919	Erigeron canadensis	72917	94.958	476	24	0	1	476	1	476	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|HTIP_scaffold_2001992	Paeonia lactiflora	35924	94.770	478	23	1	1	476	1	478	2	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|HENI_scaffold_2052729	Quercus shumardii	262619	94.947	475	24	0	1	475	1	475	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|CAQZ_scaffold_2024389	N/A	13701	94.947	475	24	0	1	475	1	475	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|PAWA_scaffold_2047441	Aristolochia elegans	143780	94.947	475	24	0	1	475	8	482	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|OCWZ_scaffold_2012494	Dioscorea villosa	330167	94.538	476	26	0	1	476	1	476	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|NCVK_scaffold_2047460	Prunus prostrata	195662	94.947	475	24	0	1	475	8	482	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|GDZS_scaffold_2026594	Byblis gigantea	45326	94.538	476	26	0	1	476	1	476	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|AXAF_scaffold_2064516	Thladiantha villosula	1045188	95.579	475	21	0	1	475	8	482	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|AWJM_scaffold_2072669	Edgeworthia chrysantha	142181	94.748	476	25	0	1	476	8	483	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|WVMY_scaffold_2012036	Phlox drummondii	103529	95.158	475	23	0	1	475	8	482	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|SQCF_scaffold_2013298	Dryas octopetala	57948	94.947	475	24	0	1	475	1	475	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|PRFO_scaffold_2136952	Agapanthus africanus	51501	94.538	476	26	0	1	476	8	483	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|MTHW_scaffold_2006593	Platanthera clavellata	1671328	94.538	476	26	0	1	476	8	483	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|IANR_scaffold_2074656	Rosa palustris	267247	94.947	475	24	0	1	475	1	475	0	0.0	926
BLAST_AUTO_ID_1	gnl|onekp|XMBA_scaffold_2075351	Poliomintha bustamanta	1799617	94.328	476	27	0	1	476	8	483	0	0.0	925
BLAST_AUTO_ID_1	gnl|onekp|MYVH_scaffold_2061781	Linum grandiflorum	559336	94.947	475	24	0	1	475	1	475	0	0.0	925
BLAST_AUTO_ID_1	gnl|onekp|INSP_scaffold_2053810	Morella cerifera	3510	94.737	475	25	0	1	475	8	482	0	0.0	925
BLAST_AUTO_ID_1	gnl|onekp|EAVM_scaffold_2080558	Amelanchier canadensis	52523	94.947	475	24	0	1	475	1	475	0	0.0	925
BLAST_AUTO_ID_1	gnl|onekp|AUGV_scaffold_2006804	Capnoides sempervirens	3464	94.947	475	24	0	1	475	1	475	0	0.0	925
BLAST_AUTO_ID_1	gnl|onekp|ZGDS_scaffold_2089176	Lactuca graminifolia	883015	94.748	476	25	0	1	476	1	476	0	0.0	925
BLAST_AUTO_ID_1	gnl|onekp|THDM_scaffold_2063876	Vanilla planifolia	51239	94.538	476	26	0	1	476	8	483	0	0.0	925
BLAST_AUTO_ID_1	gnl|onekp|TEZA_scaffold_2071066	Solidago canadensis	59297	95.158	475	23	0	1	475	1	475	0	0.0	925
BLAST_AUTO_ID_1	gnl|onekp|TAGM_scaffold_2048444	Melissa officinalis	39338	93.908	476	29	0	1	476	8	483	0	0.0	925
BLAST_AUTO_ID_1	gnl|onekp|MMJI_scaffold_2090100	Lactuca graminifolia	883015	94.748	476	25	0	1	476	1	476	0	0.0	925
BLAST_AUTO_ID_1	gnl|onekp|GUMF_scaffold_2115008	Cota tinctoria	99028	94.748	476	25	0	1	476	1	476	0	0.0	925
BLAST_AUTO_ID_1	gnl|onekp|DUQG_scaffold_2010580	Tanacetum parthenium	127999	94.748	476	25	0	1	476	1	476	0	0.0	925
BLAST_AUTO_ID_1	gnl|onekp|WXNT_scaffold_2004633	Joinvillea ascendens	38723	94.538	476	26	0	1	476	8	483	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|WAIL_scaffold_2070214	Laurelia sempervirens	63809	94.526	475	26	0	1	475	8	482	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|MGVU_scaffold_2039434	Allamanda cathartica	52818	96.162	469	18	0	1	469	8	476	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|JTQQ_scaffold_2071408	Glycyrrhiza lepidota	47080	95.158	475	23	0	1	475	8	482	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|JDTY_scaffold_2009952	N/A	1263231	94.328	476	27	0	1	476	8	483	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|FGRF_scaffold_2059815	Asparagus densiflorus	272853	93.908	476	29	0	1	476	8	483	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|YLPM_scaffold_2084084	Pseudotaxus chienii	89481	94.737	475	25	0	1	475	1	475	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|XZME_scaffold_2020726	Drakaea elastica	1048778	94.328	476	27	0	1	476	8	483	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|VNMY_scaffold_2003632	Bischofia javanica	210340	94.737	475	25	0	1	475	1	475	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|SFZX_scaffold_2010178	Cannabis sativa	3483	94.737	475	25	0	1	475	1	475	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|RMWJ_scaffold_2055523	Wisteria floribunda	3922	94.737	475	25	0	1	475	1	475	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|PKMO_scaffold_2163727	Cistus incanus	393199	95.368	475	22	0	1	475	5	479	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|PEZP_scaffold_2069674	Glycyrrhiza glabra	49827	94.947	475	24	0	1	475	1	475	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|GAMH_scaffold_2057699	Tsuga heterophylla	3359	93.895	475	29	0	1	475	1	475	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|FDMM_scaffold_2089371	Salvia rosmarinus	39367	94.118	476	28	0	1	476	8	483	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|BLVL_scaffold_2056802	Sorbus koehneana	691237	94.737	475	25	0	1	475	1	475	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|XVJB_scaffold_2055204	Morus nigra	85232	94.947	475	24	0	1	475	1	475	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|XEUV_scaffold_2013886	Narcissus viridiflorus	54863	94.328	476	27	0	1	476	8	483	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|UTQR_scaffold_2084518	Handroanthus umbellatus	1799634	93.737	479	30	0	1	479	1	479	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|SNNC_scaffold_2000188	Leonurus japonicus	4138	94.748	476	25	0	1	476	8	483	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|PTLU_scaffold_2001624	Staphylea trifolia	85280	94.737	475	25	0	1	475	8	482	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|PHCE_scaffold_2019721	Prunella vulgaris	39358	94.328	476	27	0	1	476	8	483	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|JSAG_scaffold_2080346	Masdevallia yungasensis	1526612	94.118	476	28	0	1	476	8	483	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|IQYY_scaffold_2117696	Narcissus viridiflorus	54863	94.328	476	27	0	1	476	8	483	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|HDWF_scaffold_2081842	Francoa appendiculata	70269	94.737	475	25	0	1	475	8	482	0	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|BAHE_scaffold_2035832	Plectranthus scutellarioides	4142	92.857	476	30	1	1	476	8	479	4	0.0	924
BLAST_AUTO_ID_1	gnl|onekp|YIVZ_scaffold_2020697	Oenothera rosea	238298	94.737	475	25	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|YDEH_scaffold_2061389	Argemone mexicana	54796	94.947	475	24	0	1	475	8	482	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|XMVD_scaffold_2051496	Chelidonium majus	71251	94.947	475	24	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|UASK_scaffold_2005568	Oenothera speciosa	3953	94.737	475	25	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|TGOP_scaffold_2004437	Oenothera gaura	260689	94.737	475	25	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|QIEH_scaffold_2068913	Cotoneaster transcaucasicus	1799569	94.737	475	25	0	1	475	8	482	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|GOQJ_scaffold_2062064	Argemone mexicana	54796	94.947	475	24	0	1	475	8	482	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|CCHG_scaffold_2019092	Argemone mexicana	54796	94.947	475	24	0	1	475	8	482	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|BTZX_scaffold_2006813	Philadelphus inodorus	23114	94.947	475	24	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|BFMT_scaffold_2073451	Argemone mexicana	54796	94.947	475	24	0	1	475	8	482	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|ZGQD_scaffold_2055793	Corydalis linstowiana	1799567	94.526	475	26	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|TVCU_scaffold_2054621	Ochna mossambicensis	473047	94.737	475	25	0	1	475	8	482	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|ROLB_scaffold_2083288	Oenothera elata	44456	94.526	475	26	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|JROW_scaffold_2065019	Punica granatum	22663	94.947	475	24	0	1	475	8	482	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|IDAU_scaffold_2047931	Oenothera elata	44456	94.526	475	26	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|EWHG_scaffold_2051776	Oenothera grandis	690536	94.526	475	26	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|EQYT_scaffold_2004027	Oenothera berlandieri	690533	94.526	475	26	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|EBPG_scaffold_2003778	Oenothera grandiflora	49455	94.526	475	26	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|DSVQ_scaffold_2045492	Oenothera biennis	3942	94.526	475	26	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|DRIL_scaffold_2092245	Bryophyllum daigremontianum	23013	94.526	475	26	0	1	475	8	482	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|CKDK_scaffold_2093976	Ochna serrulata	56634	94.737	475	25	0	1	475	8	482	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|CHTD_scaffold_2002907	Oenothera grandis	690536	94.526	475	26	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|AQXA_scaffold_2009082	Oenothera laciniata	238288	94.526	475	26	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|AJBK_scaffold_2000079	Oenothera elata	44456	94.526	475	26	0	1	475	1	475	0	0.0	923
BLAST_AUTO_ID_1	gnl|onekp|SNNC_scaffold_2000189	Leonurus japonicus	4138	94.538	476	26	0	1	476	8	483	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|SNNC_scaffold_2000187	Leonurus japonicus	4138	94.538	476	26	0	1	476	8	483	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|LRRR_scaffold_2012951	Teucrium chamaedrys	53176	94.538	476	26	0	1	476	8	483	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|LPGY_scaffold_2154474	Viola tricolor	214053	94.316	475	27	0	1	475	1	475	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|ZYAX_scaffold_2014861	Taxus cuspidata	99806	94.316	475	27	0	1	475	1	475	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|WWSS_scaffold_2045344	Taxus baccata	25629	94.316	475	27	0	1	475	1	475	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|VBHQ_scaffold_2038250	Stemona tuberosa	167572	94.328	476	27	0	1	476	8	483	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|CMFF_scaffold_2072159	Lupinus polyphyllus	3874	94.526	475	26	0	1	475	8	482	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|BOLZ_scaffold_2171394	Atropa belladonna	33113	94.328	476	27	0	1	476	1	476	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|ZPKK_scaffold_2035625	Aruncus dioicus	32220	94.105	475	28	0	1	475	1	475	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|VYGG_scaffold_2059638	Stachyurus praecox	85277	94.526	475	26	0	1	475	8	482	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|SART_scaffold_2008739	Xeronema callistemon	51387	94.118	476	28	0	1	476	8	483	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|MFIN_scaffold_2053681	Pistia stratiotes	4477	94.105	475	28	0	1	475	8	482	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|GGJD_scaffold_2006028	Strychnos spinosa	99302	93.908	476	29	0	1	476	8	483	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|EYKJ_scaffold_2012498	Silybum marianum	92921	94.118	476	28	0	1	476	1	476	0	0.0	922
BLAST_AUTO_ID_1	gnl|onekp|UEVI_scaffold_2062316	Chamaecyparis hodginsii	89191	93.895	475	29	0	1	475	1	475	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|RKLL_scaffold_2066917	Copaifera officinalis	327148	94.316	475	27	0	1	475	8	482	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|QFAE_scaffold_2062547	Sequoiadendron giganteum	99814	94.105	475	28	0	1	475	1	475	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|NQWS_scaffold_2013558	Oenothera filiformis	260694	94.526	475	26	0	1	475	1	475	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|NMGG_scaffold_2065494	Hypecoum procumbens	391933	94.316	475	27	0	1	475	1	475	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|NFXV_scaffold_2018288	Mammea americana	198777	94.316	475	27	0	1	475	8	482	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|MFTM_scaffold_2010879	Pinus jeffreyi	55061	93.895	475	29	0	1	475	1	475	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|JMJV_scaffold_2010871	Oenothera gaura	260689	94.526	475	26	0	1	475	1	475	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|JBND_scaffold_2015972	Pinus ponderosa	55062	93.895	475	29	0	1	475	1	475	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|FRPM_scaffold_2014377	Calocedrus decurrens	13387	93.895	475	29	0	1	475	1	475	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|WKSU_scaffold_2131372	Drimys winteri	3419	93.697	476	30	0	1	476	1	476	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|VVVV_scaffold_2046630	N/A	25921	94.118	476	28	0	1	476	8	483	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|UEEN_scaffold_2034503	Forestiera segregata	126416	94.526	475	26	0	1	475	1	475	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|OWFC_scaffold_2054845	Halocarpus bidwillii	120591	94.105	475	28	0	1	475	1	475	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|KFZY_scaffold_2008594	Tragopogon castellanus	261642	94.105	475	28	0	1	475	1	475	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|DNQA_scaffold_2000862	N/A	25443	94.328	476	27	0	1	476	8	483	0	0.0	921
BLAST_AUTO_ID_1	gnl|onekp|WVWN_scaffold_2010116	Larix griffithii var. speciosa	193047	94.105	475	28	0	1	475	1	475	0	0.0	920
BLAST_AUTO_ID_1	gnl|onekp|VTUS_scaffold_2051753	Goodyera pubescens	78780	93.277	476	32	0	1	476	8	483	0	0.0	920
BLAST_AUTO_ID_1	gnl|onekp|QURC_scaffold_2027840	Hydrangea febrifuga	152286	94.105	475	28	0	1	475	1	475	0	0.0	920
BLAST_AUTO_ID_1	gnl|onekp|OHAE_scaffold_2129400	Polygala lutea	174542	94.947	475	24	0	1	475	8	482	0	0.0	920
